file_name,filmnr_negativnr,filnavn_a,filnavn_b
USD_UNIHIST_BREV_120370.tif,Barth200324s2.tif,Barth200324s2.tif,
USD_UNIHIST_BREV_1827457.tif,Baufoy070435f.tif,Baufoy070435f.tif,
USD_UNIHIST_BREV_1827453.tif,Baufoy070435s1.tif,Baufoy070435s1.tif,
USD_UNIHIST_BREV_1827465.tif,Baufoy180835f.tif,Baufoy180835f.tif,
USD_UNIHIST_BREV_1827461.tif,Baufoy180835s1.tif,Baufoy180835s1.tif,
USD_UNIHIST_BREV_2022202.tif,Beaufort150731s1.tif,Beaufort150731s1.tif,
USD_UNIHIST_BREV_2022206.tif,Beaufort150731s2.tif,Beaufort150731s2.tif,
USD_UNIHIST_BREV_2022198.tif,Beaufort150731s3.tif,Beaufort150731s3.tif,
USD_UNIHIST_BREV_2022210.tif,Beaufort300132s1.tif,Beaufort300132s1.tif,
USD_UNIHIST_BREV_120366.tif,Bergh151260s1.tif,Bergh151260s1.tif,
USD_UNIHIST_BREV_120362.tif,Bergh151260s2.tif,Bergh151260s2.tif,
USD_UNIHIST_BREV_2022218.tif,Berghaus081124b.tif,Berghaus081124b.tif,
USD_UNIHIST_BREV_2022222.tif,Berghaus081124f.tif,Berghaus081124f.tif,
USD_UNIHIST_BREV_2022226.tif,Berghaus081124s1.tif,Berghaus081124s1.tif,
